locatie;UN;Product;batch;aantal;verdiep
HO04601;000102321007;H000026494;GC9058;20.660;01
HO04601;000102321007;H000026494;GC9058;19.890;01
HO04601;000102321007;H000026494;GC9058;20.100;01
HO04601;000102321007;H000026494;GC9058;9.400;01
HI00301;000094741722;H000025889;980305A225;23.820;01
HI00301;000094741722;H000025889;980305A225;23.120;01
HI00301;000094741722;H000025889;980305A225;22.910;01
HI00301;000094741722;H000025889;980305A225;23.070;01
HI00301;000094741722;H000025889;980305A225;22.750;01
HI00301;000094741722;H000025889;980305A225;23.620;01
HI00101;000094741723;H000025889;980305A226;22.810;01
HI00101;000094741723;H000025889;980305A226;21.300;01
HI00101;000094741723;H000025889;980305A226;24.350;01
HI00101;000094741723;H000025889;980305A226;21.960;01
HI00101;000094741723;H000025889;980305A226;22.860;01
HI00101;000094741723;H000025889;980305A226;21.510;01
HI00104;000094750222;H000025889;980305A224;23.140;04
HI00104;000094750222;H000025889;980305A224;22.170;04
HI00104;000094750222;H000025889;980305A224;13.530;04
HI00104;000094750222;H000025889;980305A224;23.670;04
HI00104;000094750222;H000025889;980305A224;23.580;04
HI00104;000094750222;H000025889;980305A224;24.800;04
HI00203;000094741721;H000025889;980305A224;21.540;03
HI00203;000094741721;H000025889;980305A224;20.490;03
HI00203;000094741721;H000025889;980305A224;22.240;03
HI00203;000094741721;H000025889;980305A224;24.060;03
HI00203;000094741721;H000025889;980305A224;24.300;03
HI00203;000094741721;H000025889;980305A224;22.680;03
IH00100;000094774709;H000025889;980305A224;.060;00
IH00100;000094774710;H000025889;980305A225;.060;00
IH00100;000094776681;H000025889;980305A226;.060;00
HI00106;000094776529;H000025889;980305A226;23.760;06
HI00106;000094776529;H000025889;980305A226;22.850;06
HI00106;000094776529;H000025889;980305A226;24.050;06
HI00106;000094776529;H000025889;980305A226;20.630;06
HI00106;000094776529;H000025889;980305A226;22.100;06
HI00106;000094776529;H000025889;980305A226;17.080;06
HI00205;000094750223;H000025889;980305A225;20.930;05
HI00205;000094750223;H000025889;980305A225;24.010;05
HI00205;000094750223;H000025889;980305A225;21.170;05
HI00205;000094750223;H000025889;980305A225;21.720;05
HI00205;000094750223;H000025889;980305A225;22.610;05
HI00205;000094750223;H000025889;980305A225;16.250;05
IH00200;000094781175;H000025889;980305A283;.060;00
HI01301;000094781087;H000025889;980305A284;22.860;01
HI01301;000094781087;H000025889;980305A284;21.140;01
HI01301;000094781087;H000025889;980305A284;21.840;01
HI01301;000094781087;H000025889;980305A284;21.970;01
HI01301;000094781087;H000025889;980305A284;23.880;01
HI01301;000094781087;H000025889;980305A284;21.920;01
HI00402;000094743082;H000025889;980305A287;23.350;02
HI00402;000094743082;H000025889;980305A287;23.080;02
HI00402;000094743082;H000025889;980305A287;22.380;02
HI00402;000094743082;H000025889;980305A287;20.770;02
HI00402;000094743082;H000025889;980305A287;11.790;02
HI00402;000094743082;H000025889;980305A287;21.500;02
HI00506;000094780551;H000025889;980305A282;22.140;06
HI00506;000094780551;H000025889;980305A282;22.340;06
HI00506;000094780551;H000025889;980305A282;20.980;06
HI00506;000094780551;H000025889;980305A282;22.770;06
HI00506;000094780551;H000025889;980305A282;23.140;06
HI00506;000094780551;H000025889;980305A282;24.020;06
IH00200;000094781180;H000025889;980305A287;.060;00
HI00604;000094780536;H000025889;980305A287;24.390;04
HI00604;000094780536;H000025889;980305A287;22.980;04
HI00604;000094780536;H000025889;980305A287;22.850;04
HI00604;000094780536;H000025889;980305A287;23.060;04
HI00604;000094780536;H000025889;980305A287;22.060;04
HI00604;000094780536;H000025889;980305A287;22.680;04
HI01205;000094780533;H000025889;980305A283;23.070;05
HI01205;000094780533;H000025889;980305A283;21.930;05
HI01205;000094780533;H000025889;980305A283;22.980;05
HI01205;000094780533;H000025889;980305A283;22.170;05
HI01205;000094780533;H000025889;980305A283;21.500;05
HI01205;000094780533;H000025889;980305A283;22.650;05
HI01206;000094743039;H000025889;980305A283;22.430;06
HI01206;000094743039;H000025889;980305A283;22.270;06
HI01206;000094743039;H000025889;980305A283;21.030;06
HI01206;000094743039;H000025889;980305A283;21.280;06
HI01206;000094743039;H000025889;980305A283;21.300;06
HI01206;000094743039;H000025889;980305A283;21.790;06
HI00704;000094743035;H000025889;980305A279;23.540;04
HI00704;000094743035;H000025889;980305A279;22.480;04
HI00704;000094743035;H000025889;980305A279;21.660;04
HI00704;000094743035;H000025889;980305A279;23.580;04
HI00704;000094743035;H000025889;980305A279;22.360;04
HI00704;000094743035;H000025889;980305A279;21.230;04
HJ00302;000094743038;H000025889;980305A282;22.540;02
HJ00302;000094743038;H000025889;980305A282;22.170;02
HJ00302;000094743038;H000025889;980305A282;21.720;02
HJ00302;000094743038;H000025889;980305A282;13.540;02
HJ00302;000094743038;H000025889;980305A282;22.210;02
HJ00302;000094743038;H000025889;980305A282;23.940;02
IH00200;000094781204;H000025889;980305A282;.060;00
HI00804;000094743037;H000025889;980305A281;21.760;04
HI00804;000094743037;H000025889;980305A281;21.770;04
HI00804;000094743037;H000025889;980305A281;23.170;04
HI00804;000094743037;H000025889;980305A281;16.400;04
HI00804;000094743037;H000025889;980305A281;22.660;04
HI00804;000094743037;H000025889;980305A281;21.060;04
IH00200;000094780793;H000025889;980305A281;.060;00
HI00605;000094780555;H000025889;980305A281;20.770;05
HI00605;000094780555;H000025889;980305A281;23.990;05
HI00605;000094780555;H000025889;980305A281;23.310;05
HI00605;000094780555;H000025889;980305A281;23.540;05
HI00605;000094780555;H000025889;980305A281;22.850;05
HI00605;000094780555;H000025889;980305A281;22.160;05
HI01101;000094743044;H000025889;980305A284;21.480;01
HI01101;000094743044;H000025889;980305A284;22.010;01
HI01101;000094743044;H000025889;980305A284;18.930;01
HI01101;000094743044;H000025889;980305A284;22.200;01
HI01101;000094743044;H000025889;980305A284;21.820;01
HI01101;000094743044;H000025889;980305A284;21.180;01
IH00200;000094781213;H000025889;980305A284;.060;00
HI00806;000094780547;H000025889;980305A279;20.090;06
HI00806;000094780547;H000025889;980305A279;21.460;06
HI00806;000094780547;H000025889;980305A279;23.110;06
HI00806;000094780547;H000025889;980305A279;22.470;06
HI00806;000094780547;H000025889;980305A279;22.140;06
HI00806;000094780547;H000025889;980305A279;22.140;06
IH00200;000094781211;H000025889;980305A279;.060;00
HI01103;000094743032;H000025889;980305A276;20.620;03
HI01103;000094743032;H000025889;980305A276;22.660;03
HI01103;000094743032;H000025889;980305A276;21.010;03
HI01103;000094743032;H000025889;980305A276;20.070;03
HI01103;000094743032;H000025889;980305A276;22.100;03
HI01103;000094743032;H000025889;980305A276;23.330;03
IH00200;000094781230;H000025889;980305A276;.060;00
HI00905;000094743034;H000025889;980305A278;21.920;05
HI00905;000094743034;H000025889;980305A278;21.220;05
HI00905;000094743034;H000025889;980305A278;21.700;05
HI00905;000094743034;H000025889;980305A278;23.970;05
HI00905;000094743034;H000025889;980305A278;21.470;05
HI00905;000094743034;H000025889;980305A278;21.780;05
HI01001;000094780568;H000025889;980305A276;21.010;01
HI01001;000094780568;H000025889;980305A276;23.020;01
HI01001;000094780568;H000025889;980305A276;22.290;01
HI01001;000094780568;H000025889;980305A276;22.970;01
HI01001;000094780568;H000025889;980305A276;23.210;01
HI01001;000094780568;H000025889;980305A276;22.580;01
HI00906;000094780571;H000025889;980305A278;23.440;06
HI00906;000094780571;H000025889;980305A278;21.570;06
HI00906;000094780571;H000025889;980305A278;23.560;06
HI00906;000094780571;H000025889;980305A278;16.930;06
HI00906;000094780571;H000025889;980305A278;24.140;06
HI00906;000094780571;H000025889;980305A278;23.510;06
IH00200;000094781260;H000025889;980305A278;.060;00
HJ00604;000094743033;H000025889;980305A277;21.290;04
HJ00604;000094743033;H000025889;980305A277;21.800;04
HJ00604;000094743033;H000025889;980305A277;21.660;04
HJ00604;000094743033;H000025889;980305A277;21.520;04
HJ00604;000094743033;H000025889;980305A277;23.740;04
HJ00604;000094743033;H000025889;980305A277;23.930;04
HI01003;000094743031;H000025889;980305A275;23.430;03
HI01003;000094743031;H000025889;980305A275;21.560;03
HI01003;000094743031;H000025889;980305A275;12.320;03
HI01003;000094743031;H000025889;980305A275;24.520;03
